#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
151,Gabon,"48,945",,306 ,,"48,392",,247,,"20,993",131,"1,619,864","694,763","2,331,533 ",Africa,"487,6191",,,106,
152,Andorra,"46,588",,155 ,,"46,319",,114,14,"601,423","2,001","249,838","3,225,256","77,463 ",Europe,25000,,,"1,472",
153,Papua New Guinea,"45,629",,668 ,,"43,982",,979,7,"4,910",72,"249,149","26,813","9,292,169 ",Australia/Oceania,"20413,91037",,,105,
154,Curaçao,"45,489",,293 ,,"44,720",,476,3,"274,810","1,770","496,693","3,000,640","165,529 ",North America,45650,,,"2,876",
155,Aruba,"43,334",,232 ,,"42,438",,664,2,"402,699","2,156","177,885","1,653,068","107,609 ",North America,24641,,,"6,170",
156,Mauritius,"40,718",,"1,031 ",,"39,006",,681,,"31,943",809,"358,675","281,374","1,274,727 ",Africa,"311,2364",,,534,
157,Mayotte,"40,339",,187 ,,N/A,N/A,N/A,,"140,918",653,"176,919","618,038","286,259 ",Africa,"71,5312",,,"129,910",
158,Tanzania,"40,054",,845 ,,N/A,N/A,N/A,7,633,13,,,"63,298,550 ",Africa,"1,58074,910",,,617,
159,Togo,"39,312",,290 ,,"39,006",,16,,"4,529",33,"798,759","92,014","8,680,837 ",Africa,"22129,93411",,,2,
160,Guinea,"38,122",,458 ,,"37,174",,490,8,"2,749",33,"660,107","47,607","13,865,691 ",Africa,"36430,27421",,,35,
161,Isle of Man,"38,008",,116 ,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732 ",Europe,27391,,,"129,450",
162,Bahamas,"37,386",,833 ,,"36,270",,283,2,"93,345","2,080","256,731","641,001","400,516 ",North America,114812,,,707,
163,Faeroe Islands,"34,658",,28 ,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233 ",Europe,"11,7580",,,"547,133",
164,Lesotho,"34,490",,706 ,,"25,980",,"7,804",,"15,852",324,"431,221","198,199","2,175,699 ",Africa,"633,0825",,,"3,587",
165,Haiti,"33,828",,860 ,,"32,729",,239,,"2,896",74,"132,422","11,337","11,680,283 ",North America,"34513,58288",,,20,
166,Mali,"32,738",,742 ,,"31,912",,84,,"1,525",35,"771,839","35,943","21,473,764 ",Africa,"65628,94028",,,4,
